
Rank	First Name	Last Name	Team	rect	shoes	split	Day 1	line	vision	walk	Day2	Global
1	Benjamin	Qi	USA	100	100	100	300	90.09	100	57	247.09	547.09
2	Ildar	Gainullin	RUS	100	100	64	264	90.22	100	57	247.22	511.22
3	Zixiang	Zhou	CAN	100	100	40	240	97.33	100	57	254.33	494.33
4	Ziqian	Zhong	CHN	100	100	64	264	70.46	100	57	227.46	491.46
5	Junzhao	Yang	CHN	100	100	40	240	85.39	100	57	242.39	482.39
6	Po-Hsuan	Su	TWN	100	100	40	240	71.14	66	100	237.14	477.14
7	Eric	Zhang	USA	100	100	40	240	83.87	100	43	226.87	466.87
8	Mahdi	Jafari Raviz	IRN	72	100	40	212	86.11	66	100	252.11	464.11
9	Angus	Ritossa	AUS	72	100	40	212	90.26	100	57	247.26	459.26
10	Arthur	Léonard	FRA	72	100	40	212	97.65	100	43	240.65	452.65
11	Shih-Yu	Wang	TWN	72	100	40	212	76.43	100	57	233.43	445.43
12	Eu-Shaun	Leong	SGP	100	100	40	240	81.35	66	57	204.35	444.35
13	Daniel	Zhang	USA	100	100	40	240	77.75	100	24	201.75	441.75
14	Nazarii	Denha	UKR	72	85	40	197	85.2	100	57	242.2	439.2
15	Nikoloz	Birkadze	GEO	100	100	40	240	85.75	100	10	195.75	435.75
16	Abdul Malik	Nurrokhman	IDN	100	100	40	240	72.43	66	57	195.43	435.43
17	Vladimir	Romanov	RUS	100	100	40	240	72.35	66	57	195.35	435.35
18	Sebin	Kim	KOR	100	100	40	240	72.3	66	57	195.3	435.3
19	Phuc	Trinh Huu Gia	VNM	72	100	100	272	37.48	100	24	161.48	433.48
20	Jiaxuan	Gao	CHN	100	100	40	240	83.11	100	10	193.11	433.11
21	Radoslav	Dimitrov	BGR	100	100	40	240	65.75	66	57	188.75	428.75
22	Gyojun	Youn	KOR	72	100	40	212	90.97	66	57	213.97	425.97
23	Batyr	Sardarbekov	KAZ	72	100	40	212	53.81	100	57	210.81	422.81
24	Duc	Bui Hong	VNM	72	100	40	212	52.66	100	57	209.66	421.66
25	Masataka	Yoneda	JPN	72	100	40	212	51.89	100	57	208.89	420.89
26	Egor	Lifar	RUS	100	85	40	225	85.3	52	57	194.3	419.3
27	Balázs	Tóth	HUN	50	100	40	190	89.26	100	39	228.26	418.26
28	Aleksandr	Morozov	RUS	100	100	40	240	50.75	100	24	174.75	414.75
29	Koichi	Namekata	JPN	72	100	40	212	90.46	52	57	199.46	411.46
30	Arshia	Soltani Moakhar	IRN	100	100	40	240	65.52	66	39	170.52	410.52
31	Etienne	Rossignol	FRA	50	100	100	250	69.24	66	24	159.24	409.24
32	Noam	Gutterman	ISR	100	100	40	240	36.91	100	24	160.91	400.91
33	Jiří	Kalvoda	CZE	38	100	40	178	65.7	100	57	222.7	400.7
34	Patrick	Pavić	HRV	100	100	40	240	68.97	66	25	159.97	399.97
35	Carlos Miguel	Soto	ARG	72	100	40	212	63.75	100	24	187.75	399.75
36	Seyyed Mehrshad	Mirmohammadi	IRN	100	100	40	240	98.5	59	0	157.5	397.5
37	Yujin	Im	KOR	72	100	40	212	61.41	66	57	184.41	396.41
38	Harris	Leung	HKG	100	100	40	240	39.84	81	33	153.84	393.84
39	Gediminas	Lelešius	LTU	50	100	100	250	33.81	66	43	142.81	392.81
40	Sofiia	Melnyk	UKR	72	100	40	212	54.6	66	57	177.6	389.6
41	Almog	Wald	ISR	50	100	100	250	36.07	100	0	136.07	386.07
42	Michal	Staník	SVK	50	100	40	190	70.63	66	57	193.63	383.63
43	Yasutaka	Hiraki	JPN	72	100	40	212	45.89	100	24	169.89	381.89
44	Tautvydas	Jasiūnas	LTU	50	100	40	190	63.68	100	24	187.68	377.68
45	Theodor Pierre	Moroianu	ROU	50	100	40	190	86.15	100	0	186.15	376.15
46	Man Tsung	Yeung	HKG	72	100	40	212	88.11	66	10	164.11	376.11
47	Aleksandar	Krastev	BGR	59	100	11	170	79.96	100	24	203.96	373.96
48	Yaraslau	Barysau	BLR	100	85	40	225	58.59	66	24	148.59	373.59
49	Xiuhan	Wang	CHN	72	100	40	212	69.59	52	39	160.59	372.59
50	Fredrik	Ekholm	SWE	72	100	7	179	68.72	100	24	192.72	371.72
51	Victor	Rong	CAN	72	100	40	212	68.32	66	24	158.32	370.32
52	Sora	Todaka	JPN	50	100	40	190	53.33	100	24	177.33	367.33
53	Martin	Melicher	SVK	72	100	40	212	62.99	81	10	153.99	365.99
54	Martin	Kopchev	BGR	72	100	40	212	62.33	66	24	152.33	364.33
55	Hugo	Peyraud-Magnin	FRA	50	85	40	175	82.69	66	39	187.69	362.69
56	William	Lin	USA	0	100	29	129	74.2	100	57	231.2	360.2
57	Krešimir	Nežmah	HRV	31	100	40	171	63.95	100	24	187.95	358.95
58	Tadija	Šebez	SRB	72	100	40	212	70.62	52	24	146.62	358.62
59	Andriy	Kuts	UKR	72	100	40	212	56.11	66	24	146.11	358.11
60	Kevin	Pucci	PRT	72	100	40	212	56.02	66	24	146.02	358.02
61	Khaleel	Al-Adhami	JOR	72	100	40	212	76.82	66	0	142.82	354.82
62	Sanchayapol	Lewgasamsarn	THA	50	85	40	175	53.78	100	24	177.78	352.78
63	Kien	Vu Hoang	VNM	72	100	40	212	49.77	66	24	139.77	351.77
64	Daniyar	Zakarin	KAZ	50	100	40	190	37.24	100	24	161.24	351.24
65	Ekrem	BAL	TUR	50	100	40	190	70.06	66	24	160.06	350.06
66	Lee	Jeffrey Chun Hean	SGP	28	100	40	168	54.25	100	24	178.25	346.25
67	Ondrej	Baranovič	SVK	37	100	40	177	78.5	66	24	168.5	345.5
68	R. Fausta Anugrah	Dianparama	IDN	50	100	40	190	78.17	52	24	154.17	344.17
69	Alexandru	Rudi	MDA	50	100	40	190	77.49	66	10	153.49	343.49
70	Siarhei	Protski	BLR	50	100	40	190	62.28	66	24	152.28	342.28
71	Nyamdavaa	Amar	MNG	72	100	40	212	67.49	52	10	129.49	341.49
72	Josef	Minařík	CZE	50	100	40	190	97.33	54	0	151.33	341.33
73	Bogdan	Sitaru	ROU	72	100	40	212	48.1	55	24	127.1	339.1
74	Mieszko	Grodzicki	POL	72	65	18	155	49.98	100	33	182.98	337.98
75	Richard	Luhtaru	EST	37	100	18	155	70.56	100	10	180.56	335.56
76	Jakub	Wasilewski	POL	72	100	40	212	60.46	52	10	122.46	334.46
77	Vincent	Ling	IDN	37	100	40	177	66.77	66	24	156.77	333.77
78	Adhyyan	Sekhsaria	IND	50	100	40	190	37.93	81	24	142.93	332.93
79	Kasra	Mazaheri	IRN	72	100	40	212	40.87	55	24	119.87	331.87
80	Timmy	Yao	AUS	38	100	40	178	43.54	100	10	153.54	331.54
81	Rémy	Kimbrough	FRA	50	100	40	190	48.99	52	39	139.99	329.99
82	Mohamed	Ehab	EGY	72	100	40	212	41.18	52	24	117.18	329.18
83	Onjo	Lee	KOR	38	100	64	202	50.61	52	24	126.61	328.61
84	Martynas	Sinkievič	LTU	37	100	40	177	82.2	69	0	151.2	328.2
85	Teimurazi	Toloraia	GEO	50	100	40	190	60.46	52	24	136.46	326.46
86	Viktor	Kozhuharov	BGR	50	100	7	157	68.61	100	0	168.61	325.61
87	Roee	Sinai	ISR	37	100	33	170	54.6	100	0	154.6	324.6
88	George	Chen	CAN	59	100	40	199	48.69	52	24	124.69	323.69
89	Federico	Stazi	ITA	50	100	40	190	68.02	55	10	133.02	323.02
90	Laura Ioana	Georgescu	ROU	40	100	40	180	52.08	66	24	142.08	322.08
91	Tung	Nguyen Minh	VNM	72	100	40	212	52.94	32	24	108.94	320.94
92	Andrej	Velichkovski	MKD	50	100	40	190	54.65	66	10	130.65	320.65
93	Fabrizio	Brioni	ITA	72	100	40	212	55.67	52	0	107.67	319.67
94	Nikola	Pešić	SRB	72	85	40	197	45.76	66	10	121.76	318.76
95	Sirawit	Pongnakintr	THA	50	100	40	190	52.62	66	10	128.62	318.62
96	Min-Yen	Tsai	TWN	10	85	29	124	54.83	81	57	192.83	316.83
97	Anastasios	Panagopoulos	GRC	50	100	40	190	35.87	66	24	125.87	315.87
98	Toomas	Tennisberg	EST	72	100	18	190	63.13	52	10	125.13	315.13
99	Jozef	Fülöp	SVK	37	100	40	177	60.35	52	24	136.35	313.35
100	Ryan	Wang	AUS	50	65	40	155	75.93	66	10	151.93	306.93
101	Alexandru	Petrescu	ROU	59	100	0	159	24.63	66	57	147.63	306.63
102	Kieran	Horgan	IRL	37	100	40	177	63.25	52	10	125.25	302.25
103	Marco	Meijer	NLD	37	100	40	177	53.53	47	24	124.53	301.53
104	Temirlan	Baibolov	KAZ	72	100	40	212	57.37	32	0	89.37	301.37
105	Dan	Baterisna	PHL	31	100	40	171	40.1	66	24	130.1	301.1
